DEPARTMENT,VENDOR,DESCRIPTION,CONTRACT_NUMBER,Year,AMOUNT,REASON,ACAN,FID
WWTP,Waste'N' Watertech Ltd.,Digester Vaughan Chopper Mising Pump Rebuild Kits,19-0096,2019,32588.79,F,,1
Fleet,Brandt Tractor Ltd.,John Deere Heavy Equipment Parts & Service STO,23-0149,2023,175000,"E1, E2",,2
Transportation,Valmont West Coast Engineering,Vibration Dampers,19-0098,2019,45154.8,D,,3
Fire,Frontline Outfitters,Saskatoon Fire Department Uniforms,23-0150,2023,25376.85,C,,4
Communications & Public Engagement,Mediavalet Inc.,Digital Asset Management Software Renewal,23-0153,2023,26268,E2,,5
Transportation,Electromega Ltd.,TranSuite Traffic Management System Module,19-0103,2019,87621.18,D,,6
Transportation,Electromega Ltd.,TransSuite Software Maintenance Agreement,19-0129,2019,32184.45,E,,7
Fleet,Finning Canada,Caterpillar Parts and Service,23-0154,2023,250000,E,,8
Fleet,Bell International Trucks Ltd.,Bell International Branded Parts and Service,23-0156,2023,130000,E,,9
Major Projects & Preservation,HBI Plus Inc.,Haworth Furniture - ACAN,19-0133,2019,732600,D,Yes,10
S L & P,Elster Metering,Electricity Meters,19-0134,2019,245075.1,E,,11
Transit,Payment In Motion Inc,Payment in Motion (PIM) - Software Annual Maintenance and Support,23-0162,2023,79457,E,,12
Human Resources,Shadow Light Consulting Inc.,Leadership Coaching and Consulting,23-0167,2023,46550,,,13
Sustainability ,,2019 Sanitary Sewer System Educational Program Development,19-0149,2019,26640,J,,14
C & D,EPI Environmental Products Inc.,Alternative Daily Cover Film - ACAN,19-0150,2019,31812.5,E,Yes,15
Sustainability,Meewasin Valley Authority,Yellow Fish Road and Sanitary Sewer Education,23-0168,2023,106676,J2,,16
Finance,RBC Investor Services Trust,Investment Custody Services,23-0169,2023,42000,G1,,17
Facilities - Project Services,Silverado Demolition Operations Inc.,Demolition - 201-26th Street West,19-0155,2019,88245,A,,18
Transit,Payment In Motion Inc.,BEA Transit Fare Boxes,19-0156,2019,29999.97,D,,19
Saskatoon Land,Marsh Canada Ltd.,Insurance Property All Risk,23-0172,2023,49818,"A, E1, G1",,20
Saskatoon Water,Swiftcomply US OpCo Inc.,Software for Cross Connection Control Program,23-0177,2023,132375,"D, E",,21
